Promt,promt in Russian,Category,Subcategory,Url
tray painted in Zhostovo style,поднос расписанный в стиле Жостово,Art and culture,Decorative and Applied arts,https://gagaru.club/uploads/posts/2023-02/thumbs/1675873307_gagaru-club-p-yarkii-podnos-pinterest-39.jpg
Russian copper samovar on the table,Русский медный самовар на столе,Art and culture,Decorative and Applied arts,https://bogatyr.club/uploads/posts/2023-03/1679157041_bogatyr-club-p-fon-samovar-foni-oboi-71.jpg
Russian folk rag doll,русская народная тряпичная кукла,Art and culture,Decorative and Applied arts,https://cdn.culture.ru/images/de7f4d5b-3e53-5857-882d-6fc06c5fcd98
"Gzhel vase with a bouquet of daisies, background window with a view of the village","гжельская ваза с букетом ромашек, фон окно с видом на деревню",Art and culture,Decorative and Applied arts,https://avatars.mds.yandex.net/i?id=c3e0afa8240e7e28d294cd40ca9f9468_l-8378316-images-thumbs&n=13
Birch bark basket with raspberries,корзинка из бересты с малиной,Art and culture,Decorative and Applied arts,https://cs2.livemaster.ru/storage/2a/b1/e0ae94e20aec1f11de740bc0f3bj--russkij-stil-korzinka-pletenaya-iz-beresty.jpg
Matryoshka dolls on a table covered with a Russian embroidered tablecloth,матрёшки на столе покрытом русской вышитой скатертью,Art and culture,Decorative and Applied arts,https://cs1.livemaster.ru/storage/e0/56/933c98699d9b4547af0a3ae57b78--russkij-stil-matreshka-s-makami-desyatka.jpg
wooden bowl in Khokhloma style,деревянная миска в стиле хохлома,Art and culture,Decorative and Applied arts,https://avatars.mds.yandex.net/get-goods_pic/6234443/hatdb1dda2ef1a842addf23f4a15dab9b86/orig
"Miniature retro car of Soviet production, executive class, GAZ-21 ""Pobeda"", glossy black color, collector's model.","Миниатюрный ретро автомобиль советского производства, представительский класс, ГАЗ-21 ""Победа"", чёрный глянцевый цвет, коллекционная модель",Civil auto industry,Passenger cars,"https://sun9-44.userapi.com/s/v1/ig2/9ulK_mS6hQtzAxqiky_78HKjl3RxxKaxL1w6lE0HPbMcaC8Vkbpm4xwj76RK1NDFWcnwvuj4AgG4hga0yzn4CRH5.jpg?quality=95&as=32x20,48x31,72x46,108x69,160x102,240x153,360x229,480x305,540x343,640x407,720x458,1080x687,1280x814,1440x915,2048x1302&from=bu&u=vSRzgR__xqXHmxfJZMZs54h0RQA03jNP45_PRIRRtno&cs=807x513"
"Gaz-3102 ""Volga"" on the embankment","Газ-3102 ""Волга"" на набережной",Civil auto industry,Passenger cars,https://a.d-cd.net/11a02des-1920.jpg
Moskvich-412 in the park,Москвич-412 в парке,Civil auto industry,Passenger cars,https://img01.avto-nomer.ru/141012/o/su226598.jpg
"ZAZ-965A “Zaporozhets”, bright colors, hippie style","ЗАЗ-965А «Запорожец», яркие краски, хиппи стиль",Civil auto industry,Passenger cars,https://avatars.dzeninfra.ru/get-zen_doc/1861837/pub_5d542c817cccbab44a9b92b1_5d542d90e6cb9b00ae22a9fc/scale_1200
Niva off-road,Нива на бездорожье,Civil auto industry,Passenger cars,https://a.d-cd.net/fYAAAgE5xeA-1920.jpg
"Lada Priora, street style, rain","Лада Приора, уличный стиль, дождь",Civil auto industry,Passenger cars,https://photo.auto.ru/photo/get-autoru-vos/2163731/8zbv5nbrLMVkBB_iD-j6ikZzPIXc-mfov42o4bzwEckFNDw3JXjXnPmMAzRs6gx44MWx58a45oZKUptHNM7Vrdq7XGkL3fmQlPLKac_zDtO0TE_repNi4hGwzltoYr-obhieNVs80sv23dnzHoZB7MMknIBEP3HO4wHJUIo5r2iY8f4/1200x900
VAZ 2101 under the sun,Ваз 2101 под лучами солнца,Civil auto industry,Passenger cars,https://a.d-cd.net/a9c5f5u-960.jpg
VAZ 2106 rally version,Ваз 2106 раллийная версия,Civil auto industry,Passenger cars,https://avatars.mds.yandex.net/get-autoru-vos/5146421/23f301b729e8d34b12b372f6a97d0c7c/1200x900
"Soviet limousine ZIS-101, executive class","Советский лимузин ЗИС-101, представительский класс",Civil auto industry,Passenger cars,https://avatars.dzeninfra.ru/get-zen_doc/5284326/pub_632d3764731e7431c84bb4af_632d3767731e7431c84bb55c/scale_1200
VAZ-2105 city station wagon,ВАЗ-2105 городской универсал,Civil auto industry,Passenger cars,https://a.d-cd.net/reSO9eatK7c7YBK77kzsrvHiKZk-1920.jpg
little boy looking at the circus arena,маленький мальчик смотрит на арену цирка,Art and culture,Circus,https://t4.ftcdn.net/jpg/00/24/99/43/360_F_24994364_ksixv9ojALdCOria9FyECt17jG6iDKxn.jpg
"beautiful tiger sitting on a circus stand, bright light from circus spotlights","красивый тигр сидит на цирковой тумбе, яркий свет от прожекторов цирка",Art and culture,Circus,https://avatars.mds.yandex.net/i?id=dd871dd33e0030a2f5322682bd2e2cfc_l-5214861-images-thumbs&n=13
Bears on bicycles in the circus arena,медведи на велосипедах на арене цирка,Art and culture,Circus,https://stihi.ru/pics/2023/01/15/5468.jpg
The Circus building in Moscow in 2300,Здание цирка в Москве в 2300 году,Art and culture,Circus,https://n1s1.hsmedia.ru/e2/7c/9f/e27c9f85dfe3f9d5908738e42a0245b5/1680x1120_1_dd919724e19b7626996a2b289ba0bae8@1680x1120_0xcpDk7bjE_8286782162935210839.jpg.webp
An acrobat in a Russian costume on the circus arena,Акробат в русском костюме на арене цирка ,Art and culture,Circus,https://avatars.mds.yandex.net/i?id=303c4b6b8137af8a526f880876c6687c_l-5363089-images-thumbs&ref=rim&n=13&w=1920&h=1280
A lion walking around the circus arena,Лев ходит по арене цирка,Art and culture,Circus,https://www.pronews.gr/wp-content/uploads/2023/11/12/liontari_1-1024x576.jpg
Child with cotton candy in front of the circus,Ребенок с сахарной ватой около цирка,Art and culture,Circus,https://img.freepik.com/free-photo/medium-shot-woman-holding-candy-floss_23-2148281636.jpg?t=st=1738071285~exp=1738074885~hmac=40156afea0244cd4389b694ec0c213de357980c96c1e253f1f8d32c55c1d1509&w=740
"a girl in a kokoshnik and a short sarafan walks with a goat through the circus arena, bright colors, good mood","девушка в кокошнике и коротком сарафане идёт с козой по арене цирка, яркие краски, хорошее настроение",Art and culture,Circus,https://s15.stc.yc.kpcdn.net/share/i/12/9932129/wr-960.webp
a fluffy ginger cat stands on a disco ball in the circus arena,пушистый рыжий кот стоит на диско шаре на арене цирка,Art and culture,Circus,https://cdn.culture.ru/images/731c1195-3583-5cba-a519-74162a061a09
"a huge matryoshka doll in the circus arena, with clown girls nearby","огромная матрёшка на арене цирка, рядом девушки клоуны",Art and culture,Circus,https://avatars.mds.yandex.net/i?id=de6d116b606b2ffe6a5591ddfae6c168_l-12317070-images-thumbs&n=13
stained glass in the windows of an Orthodox church,витраж в окнах православной церкви,Architecture,Orthodox Church,https://topdesign.md/images/portfolio/vitralii/biserica/005.jpg
a wooden orthodox church stands on a hill,деревянная православная церковь стоит на холме,Architecture,Orthodox Church,https://img.goodfon.ru/wallpaper/nbig/a/56/tserkov-priroda-kholm-vecher.webp
Church of the Savior on Blood in Saint Petersburg,Собор Спас на Крови в Санкт-Петербурге,Architecture,Orthodox Church,"https://sun9-58.userapi.com/s/v1/ig2/ItsDju-pF_ayrU5ZYKii5jc1c_k1FR-g1T9YluEcy_FlSZF1GhrZ8BZLKDjGs2xHDTKY3z6TyWd7f6Iwl5W9j7m0.jpg?quality=96&blur=50,20&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1024x768&from=bu&u=1JaN4KjV7ygQP07w5nnQXRDX1vQpp5_-Mv_St9B3ffE&cs=604x453"
The Cathedral of Christ the Savior in Moscow on a sunny winter day,Храм Христа спасителя в Москве в солнечный зимний день,Architecture,Orthodox Church,https://avatars.mds.yandex.net/i?id=1eefd399c01e0a257ad59d45fbf4d270_l-5291937-images-thumbs&n=13
Kazan Cathedral in Saint Petersburg,Казанский собор в Санкт-Петербурге,Architecture,Orthodox Church,https://kovcegspb.ru/wp-content/uploads/slider/cache/cbc183237fb390e25971a7139b2eccf6/%D0%9F%D1%80%D0%B8%D0%B5%D0%BC-%D0%B2-%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5.jpg
inside a Russian church,внутри русской церкви,Architecture,Orthodox Church,https://azbyka.ru/wp-content/uploads/2015/09/ikonostas_2-1.jpg
Sketch of a Russian wooden church in pencil,скетч русской деревянной церкви карандашом,Architecture,Orthodox Church,https://i.pinimg.com/736x/bc/be/a2/bcbea236105a8dacf71249d44c605c5a.jpg
blue domes of the Orthodox church with golden stars,синие купола православной церкви с золотыми звездами,Architecture,Orthodox Church,https://avatars.dzeninfra.ru/get-zen_doc/3690562/pub_60d04797344ba663b19339ef_60d04847fab4fe56d7c20288/scale_1200
courtyard of the Russian monastery,двор русского монастыря,Architecture,Orthodox Church,https://avatars.dzeninfra.ru/get-zen_doc/964926/pub_62c69587c12e246f395eee17_62c6bcb867128a3c1f9bee6c/scale_1200
scaffolding inside a Russian church,строительные леса внутри русской церкви,Architecture,Orthodox Church,https://cdn.regnum.ru/uploads/pictures/news/2018/04/02/regnum_picture_15226631563018429_social.jpeg
photo from the opening of the exhibition of paintings in the gallery of Russian art,фотография с открытия выставки картин в галерее русского искусства,Art and culture,Photography,https://mr.moscow/wp-content/uploads/2024/05/872125-768x512.jpg
"art photography, aerial view of the Bolshoi Theatre in Moscow, evening, sunset","художественная фотография, вид сверху на Большой театр в Москве, вечер, закат",Art and culture,Photography,https://static34.tgcnt.ru/posts/_0/f1/f12ed5a6c8a3650282df6d2e172481da.jpg
photograph of the botanical garden in Moscow,фотография ботанического сада в Москве,Art and culture,Photography,https://lh5.googleusercontent.com/T3mGHWeoYjdDzET21xVpoN7ExVJTwMM-0z9pThdGTeNQcnkNvsOXk_6PJ1bXQtkkWYaGnFRlOBe4cQ6TmRQIz_fp6Kb9mUhh9zsWAdtiQv0VeRonniT_1h-uPa6Ju04Z76zQNcY
View of the Kazan Kremlin through the morning haze,"Вид на Казанский кремль, сквозь утреннюю дымку",Art and culture,Photography,https://tatarstan.ru/file/news/5703_n2202640_big.jpg
"photography, the artist paints a picture of Russian autumn, standing with an easel on the banks of the Volga","фотография, художник пишет картину русской осени, стоя с мольбертом на берегу Волги",Art and culture,Photography,http://lyubashe4ka.rasfokus.ru/images/photos/medium/0aaedf2c9a89a0de1549648f66a75e99.jpg
"Photo from the early 20th century, a Russian peasant woman stands near a hut","Фотография начала 20 века, русская крестьянка стоит около избы",Art and culture,Photography,https://i.pinimg.com/736x/c7/c2/36/c7c2366f93c3e13ddfc5819e1aac9bbe.jpg
"artistic photograph, sunken bell tower near Kalyazin","художественная фотография, затонувшая колокольня возле Калязина",Art and culture,Photography,"https://sun9-35.userapi.com/impf/c852128/v852128854/99230/oVV1M4-GMyQ.jpg?quality=96&as=32x21,48x31,72x46,108x70,160x103,240x155,360x232,480x310,540x349,640x413,720x465,1080x697,1200x775&sign=97db1f9334275b4326bc053d803c3a5b&from=bu&u=QAx4LYdBGz_KkCrCBVfeI1QOMOjM22mreKKBUPMxolI&cs=807x521"
"artistic photograph, a herd of horses galloping across the Kalmyk steppe","художественная фотография, табун лошадей скачет по калмыцкой степи",Art and culture,Photography,https://storage.yandexcloud.net/storage.yasno.media/nat-geo/images/2019/5/16/d5d14ea2f4404ca98a1f0616dede550f.max-2500x1500.jpg
the road goes into a birch grove on the river bank,дорога уходит в берёзовую рощу на берегу реки,Art and culture,Photography,"https://sun9-35.userapi.com/s/v1/ig2/s23nQ4JSRzI_2GXGxkikWrqtDZbhdInyq0OaWba3mieGOLeXL6curB_MU2AF4vNuAT5reduqpsrluZYMTYqIp3kx.jpg?quality=96&blur=50,20&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1200x900&from=bu&u=yKqRATpekeayw9gNE2608pWBg-78bNiM522KMkRHKos&cs=1080x810"
"fine art photography, close-up, white dove sits on the cross of a temple in Veliky Novgorod","художественная фотография, крупный план, белая голубка сидит на кресте храма в Великом Новгороде",Art and culture,Photography,https://sun6-23.userapi.com/impg/OZE86XY_YRQbEZFqltMe0A6zz1EP2DNiElsrHA/-zzuadFdVxQ.jpg?size=1280x844&quality=96&sign=934ca4a8bdda337a828fa90b74e45d17&c_uniq_tag=j1WIFs1T8vgLf4gGVjkS7f3UExDWzXWHAvE8L-6GExo&type=album
Russian grey felt boots with heels,русские серые войлочные валенки на каблуках,Art and culture,Design,https://womanadvice.ru/sites/default/files/sapogi_valenki_9.jpg
"modern bedroom, wallpaper on the wall in Gzhel style","современная спальня, обои на стене в стиле Гжель",Art and culture,Design,https://www.termokit.ru/upload/resize_cache/uf/a21/1200_799_13a54ab7f739256e7185c39f565bf4c08/13_0.jpg
Porcelain salt and pepper shakers in the shape of a matryoshka doll,фарфоровые солонка и перечница в форме матрёшки,Art and culture,Design,https://m.media-amazon.com/images/I/51IsdHfR1LL._AC_UL960_QL65_.jpg
Travel bag made of linen and Russian folk fabrics,дорожный саквояж из льна и русских народных тканей,Art and culture,Design,https://sun9-34.userapi.com/impg/8H0tHS9SuSnJCqEPcOFGv6vOtbebx9-REMolFA/sHXQAnKSM7I.jpg?size=512x492&quality=95&sign=88d44688721cb3bc98cfe2b6ac95df8d&type=album
spa in a rustic Russian style,спа в деревенском русском стиле,Art and culture,Design,https://static.tildacdn.com/tild3561-6266-4165-b736-646237646335/fa0288e7df16314394e7.jpg
Russian style toaster,тостер в русском стиле,Art and culture,Design,https://sun9-36.userapi.com/impg/C_wkJSwVqyJybPFvv0LUp0_MgSLRSptvpzbobA/JkQlcwZlyVk.jpg?size=512x512&quality=95&sign=241b7960e5f051aa300a757a7ab2d4a6&type=album
bride in a modern outfit with Russian motifs,невеста в современном наряде с русскими мотивами,Art and culture,Design,https://i.pinimg.com/736x/25/2f/d6/252fd6fac2eaf01d3ad4c3d61881e496.jpg
crystal perfume bottle with a stopper in the shape of a malachite flower,хрустальный флакон духов с пробкой в виде малахитового цветка,Art and culture,Design,https://i.pinimg.com/originals/9d/ac/dc/9dacdcbb5f0af1f65bb217a3f6a8ba07.png
Golden Egg Kitchen Timer,кухонный таймер в виде золотого яйца,Art and culture,Design,https://i.pinimg.com/originals/34/51/09/345109ec38a1ba79f10f81a21d8aa86e.jpg
"modern villa on chicken legs, on the Black Sea coast in Sochi","современная вилла на курьих ножках, на берегу Чёрного моря в Сочи",Art and culture,Design,https://mir-s3-cdn-cf.behance.net/project_modules/1400/0fbbe225039495.5633e4989d6e3.jpg
a still from a Russian children's fairy tale film,кадр из русского детского фильма-сказки,Art and culture,Cinema,https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/8da529ba-4b10-4cc6-904e-a5a6f883645c/1920x
poster of Tarkovsky's film,афиша фильма Тарковского,Art and culture,Cinema,https://m.media-amazon.com/images/M/MV5BNmI1NWYzN2UtNzhkNS00YmFjLWFiMGMtMmY4MmZkMTYxYzEzXkEyXkFqcGdeQXVyMTAzMDg2MjMx._V1_.jpg
a reel of film against the background of frames from various Soviet films,катушка с кинолентой на фоне кадров из разных советских фильмов,Art and culture,Cinema,https://www.mos.ru/upload/newsfeed/afisha/images7oGNR1(7).jpg
a young actor with a moustache in a white suit and a white cowboy hat against the backdrop of an old paddle steamer on the Volga,молодой актёр с усами в белом костюме и белой ковбойской шляпе на фоне старинного колёсного парохода на Волге,Art and culture,Cinema,https://static.kinoafisha.info/k/articles/1200/upload/articles/995187000038.jpg
a still from a film shot in a Russian estate,кадр из фильма снятый в русской усадьбе,Art and culture,Cinema,https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/258f8898-d2a0-4074-adac-00dbc7e34524/1920x
Soviet military cameraman films during a battle in 1943,советский военный кинооператор снимает во время боя в 1943,Art and culture,Cinema,https://csdfmuseum.ru/uploads/persons/18683319.jpg
a hand holds a cinematic clapperboard against the backdrop of the Battle of Borodino,рука держит кинематографическую хлопушку на фоне Бородинской битвы,Art and culture,Cinema,https://sun9-41.userapi.com/impg/bFLNig2MMCLAPJ1NNX2CBghuY4Q4XsXlKH6ayQ/tES85EU82v4.jpg?size=1698x834&quality=95&sign=1d3ad1604da207b442f6766c6d1173c1&type=album
"still from the black and white Soviet film ""Four Tankmen and a Dog""","кадр из чёрно-белого советского фильма ""Четыре танкиста и собака""",Art and culture,Cinema,https://m.media-amazon.com/images/M/MV5BOTlkODkxNWUtYTMxNC00MDlkLTk1ZTctZjM2NzE1YzgxNzk5XkEyXkFqcGdeQXVyNjg3MDQwMzM@._V1_FMjpg_UX1000_.jpg
a film crew is filming a movie on the streets of Moscow,киногруппа снимает кино на улице Москвы,Art and culture,Cinema,https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/b9487759-9f2e-4c2a-ac8d-8fe2ba1b2471/1920x
still from an old Russian film about Komsomol members,кадр из старого русского фильма про комсомольцев,Art and culture,Cinema,https://www.casual-info.ru/moda/style/67485/seventies_ussr_48.jpg
"Forest lake early in the morning, foggy","Лесное озеро ранним утром, туманно",Locations,Natural,https://img.goodfon.ru/original/1152x864/4/59/utro-reka-tuman-priroda.jpg
"Field of ripe rye, summer afternoon","Поле спелой ржи, летний полдень",Locations,Natural,https://sun9-3.userapi.com/impg/2DbvBEyPxrtMI-c9HS31lzWMyNLegVJTtWs9ig/Wm8otsO1V3A.jpg?size=512x341&quality=95&sign=57dba1ce8c8ef24c33a6404f69a20601&type=album
"Birch grove early spring morning, dawn","Берёзовая роща ранним весенним утром, рассвет",Locations,Natural,https://gas-kvas.com/grafic/uploads/posts/2023-10/1696560166_gas-kvas-com-p-kartinki-roshcha-43.jpg
Winter fairy tale in a pine forest,Зимняя сказка в сосновом бору,Locations,Natural,https://sun9-39.userapi.com/impg/qE5PVdU9vG3rVWM2yVueEYofFB8qYtol9ZeNyQ/zrj0gNS3b7Q.jpg?size=512x497&quality=95&sign=b2d1de3cfa47fc55b81f6adf01528f1f&type=album
"Black Sea coast, sunset","Побережье Чёрного моря, закат",Locations,Natural,https://i.pinimg.com/originals/ec/b1/19/ecb119fa16579d5a92a564fe8d8642ba.jpg
Ice surface of Lake Baikal,Ледяная гладь озера Байкал,Locations,Natural,https://avatars.dzeninfra.ru/get-zen_doc/2369622/pub_63bc2ae421df557287c7a896_63bc2aeb21df557287c7a957/scale_1200
Hiking trail in the mountains of Dagestan,Туристическая тропа в горах Дагестана,Locations,Natural,https://live.staticflickr.com/8765/27876794414_9dc63b9a05_z.jpg
Volga River from a bird's eye view,Река Волга с высоты птичьего полёта,Locations,Natural,https://experience-ireland.s3.amazonaws.com/thumbs2/94e67820-15ba-11ea-aa0f-021fc8f58862.800x600.jpg
"Kalmykia steppe in spring, sunrise","степь Калмыкии весной, восход солнца",Locations,Natural,https://proza.ru/pics/2019/04/11/384.jpg
Karelia in late autumn,Карелия глубокой осенью,Locations,Natural,https://cdn.culture.ru/images/dc3b77e9-cbf9-5926-9688-fd13ef7ad872
"Red Square, St. Basil's Cathedral","Красная площадь, собор Василия Блаженного",Locations,Man-made,https://live.staticflickr.com/7896/47248118661_bc2b3a81ea_b.jpg
"St. Petersburg, Winter Palace","Санкт-Петербург, Зимний дворец",Locations,Man-made,https://s.101hotelscdn.ru/uploads/image/hotel_image/1596/3204008_preview.jpg
"Kazan Kremlin, Kul-Sharif mosque","Казанский кремль, мечеть ""Кул-Шариф""",Locations,Man-made,https://img.tourister.ru/files/1/6/3/1/1/6/3/6/original.jpg
Beautiful temple with golden domes at sunset,Красивый храм с золотыми куполами на закате,Locations,Man-made,https://cs13.pikabu.ru/post_img/2021/03/22/7/og_og_1616410941210149648.jpg
"Russian Bridge in Vladivostok, night illumination","Русский мост во Владивостоке, ночная подсветка",Locations,Man-made,https://aif-s3.aif.ru/images/005/679/adccbd9a80959b4a63e53e0cc04c39ad.JPG
"This is my Russian village, this is my home","Вот моя русская деревня, вот мой дом родной",Locations,Man-made,https://cdn.culture.ru/images/a3d33515-6f71-564e-8477-c92efafff5ae
large hydroelectric power station in Russia,крупная Гидроэлектростанция в России,Locations,Man-made,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/2009_incident_on_Sayan_power_station_04.jpg/640px-2009_incident_on_Sayan_power_station_04.jpg
"Soviet room interior, carpet hanging on the wall",интерьер советской комнаты с ковром на стене,Locations,Man-made,https://avatars.dzeninfra.ru/get-zen_doc/271828/pub_66b073d90babd6290b7a641f_66b073f7a73bb67b5465323a/scale_1200
Monument to Lenin in a Soviet city,Памятник Ленину в советском городе,Locations,Man-made,https://www.advantour.com/img/kyrgyzstan/bishkek/bishkek-monuments2.jpg
"Russian wooden house, dacha, in an apple orchard","Русский деревянный дом, дача, в яблоневом саду",Locations,Man-made,https://puzzleit.ru/files/puzzles/200/199620/_background.jpg
a quarter of futuristic skyscrapers in Moscow,квартал футуристических небоскребов Москвы,Art and culture,Architecture,https://static.tildacdn.com/tild3166-3863-4137-a535-333766343430/_3.png
Soviet multi-storey panel house and a courtyard with a playground,Советский многоэтажный панельный дом и двор с детской площадкой,Art and culture,Architecture,https://tverigrad.ru/wp-content/uploads/2014/07/DSC_0297-900x597.jpg
Stalin's skyscraper,сталинская высотка,Art and culture,Architecture,https://avatars.dzeninfra.ru/get-zen_doc/271828/pub_65c1bd84f477c1427f6edd89_65c21e317635d46b13127606/scale_1200
Russian dacha,русская дача,Art and culture,Architecture,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEivqGVvpWUg1xkFz7l5a2NAFK0bx3H8XsLyjbyQcoBvyR_Y2UtLU6YHyIh4UpCb55Rqxp7jQCGuVN1MMamMx2uKfPchvc4irv4fNNU0E5nbNaVUYuYdbOBozP1AindVqM3pkhbxrmKLDPsMi4qw25g25NWb8iIK6qLqV68sFUi9hLJ-550F89rkFOxdOJ8/s1200/dachnaya-amnistiya.jpg
